mode,selectivity,threshold,query_idx,query,strategy,recall_at_k,completeness_at_k,n_returned,candidates,gls_rho,lat_p50_ms,lat_p95_ms
uncorrelated,1.0,1000,0,বিশ্ববিদ্যালয় ভর্তি,pre_filter,1.0,1.0,10,10,0.0,3126.0207919985987,3363.4137776098214
uncorrelated,1.0,1000,0,বিশ্ববিদ্যালয় ভর্তি,post_filter,1.0,1.0,10,10,0.0,5.643242970108986,5.726524459896609
uncorrelated,1.0,1000,0,বিশ্ববিদ্যালয় ভর্তি,over_fetch,1.0,1.0,10,100,0.0,5.749954958446324,6.00111706298776
uncorrelated,1.0,1000,0,বিশ্ববিদ্যালয় ভর্তি,iterative,1.0,1.0,10,10,0.0,4.994792980141938,5.034179700305685
uncorrelated,1.0,1000,1,শিক্ষা নীতি পরিবর্তন,pre_filter,1.0,1.0,10,10,0.0,3090.830528992228,3173.319403489586
uncorrelated,1.0,1000,1,শিক্ষা নীতি পরিবর্তন,post_filter,1.0,1.0,10,10,0.0,4.539499001111835,4.565964388893917
uncorrelated,1.0,1000,1,শিক্ষা নীতি পরিবর্তন,over_fetch,1.0,1.0,10,100,0.0,4.745228972751647,5.009277310455218
uncorrelated,1.0,1000,1,শিক্ষা নীতি পরিবর্তন,iterative,1.0,1.0,10,10,0.0,4.386619955766946,4.657934879651293
uncorrelated,1.0,1000,2,স্কুল শিক্ষার্থী,pre_filter,1.0,1.0,10,10,0.0,3076.170006999746,3242.572027578717
uncorrelated,1.0,1000,2,স্কুল শিক্ষার্থী,post_filter,1.0,1.0,10,10,0.0,4.486027988605201,4.616261599585414
uncorrelated,1.0,1000,2,স্কুল শিক্ষার্থী,over_fetch,1.0,1.0,10,100,0.0,4.7982700052671134,4.8812814929988235
uncorrelated,1.0,1000,2,স্কুল শিক্ষার্থী,iterative,1.0,1.0,10,10,0.0,4.476770991459489,4.479583539068699
uncorrelated,1.0,1000,3,পরীক্ষার ফলাফল,pre_filter,0.9,1.0,10,10,0.0,3087.6022900338285,3175.141158985207
uncorrelated,1.0,1000,3,পরীক্ষার ফলাফল,post_filter,0.9,1.0,10,10,0.0,4.8909460310824215,5.3075992269441485
uncorrelated,1.0,1000,3,পরীক্ষার ফলাফল,over_fetch,0.9,1.0,10,100,0.0,4.751742002554238,4.782372619956732
uncorrelated,1.0,1000,3,পরীক্ষার ফলাফল,iterative,0.9,1.0,10,10,0.0,4.445049969945103,4.452624381519854
uncorrelated,1.0,1000,4,নির্বাচন কমিশন,pre_filter,0.9,1.0,10,10,0.0,3119.72787999548,3173.3529534831177
uncorrelated,1.0,1000,4,নির্বাচন কমিশন,post_filter,0.9,1.0,10,10,0.0,4.315694037359208,4.426794539904222
uncorrelated,1.0,1000,4,নির্বাচন কমিশন,over_fetch,0.9,1.0,10,100,0.0,4.633386968635023,5.315765197155997
uncorrelated,1.0,1000,4,নির্বাচন কমিশন,iterative,0.9,1.0,10,10,0.0,4.334158962592483,4.356892098439857
uncorrelated,1.0,1000,5,রাজনৈতিক দল,pre_filter,1.0,1.0,10,10,0.0,3077.490940981079,3191.5404998057056
uncorrelated,1.0,1000,5,রাজনৈতিক দল,post_filter,1.0,1.0,10,10,0.0,4.637965990696102,4.7345846076495945
uncorrelated,1.0,1000,5,রাজনৈতিক দল,over_fetch,1.0,1.0,10,100,0.0,4.737675015348941,5.0184308958705515
uncorrelated,1.0,1000,5,রাজনৈতিক দল,iterative,1.0,1.0,10,10,0.0,5.876344977878034,6.2228170747403055
uncorrelated,1.0,1000,6,সংসদ নির্বাচন,pre_filter,0.9,1.0,10,10,0.0,3128.731321019586,3192.1482163015753
uncorrelated,1.0,1000,6,সংসদ নির্বাচন,post_filter,0.9,1.0,10,10,0.0,4.4724419713020325,4.512270574923605
uncorrelated,1.0,1000,6,সংসদ নির্বাচন,over_fetch,0.9,1.0,10,100,0.0,4.705503990408033,4.70950718736276
uncorrelated,1.0,1000,6,সংসদ নির্বাচন,iterative,0.9,1.0,10,10,0.0,4.410083987750113,4.467333905631676
uncorrelated,1.0,1000,7,মন্ত্রিসভার সিদ্ধান্ত,pre_filter,1.0,1.0,10,10,0.0,3112.922730972059,3142.289821000304
uncorrelated,1.0,1000,7,মন্ত্রিসভার সিদ্ধান্ত,post_filter,1.0,1.0,10,10,0.0,4.796927038114518,5.046674277400598
uncorrelated,1.0,1000,7,মন্ত্রিসভার সিদ্ধান্ত,over_fetch,1.0,1.0,10,100,0.0,4.980305035132915,4.989926883717999
uncorrelated,1.0,1000,7,মন্ত্রিসভার সিদ্ধান্ত,iterative,1.0,1.0,10,10,0.0,4.529851023107767,4.554142878623679
uncorrelated,1.0,1000,8,কৃত্রিম বুদ্ধিমত্তা,pre_filter,0.9,1.0,10,10,0.0,3064.628214982804,3114.25636956119
uncorrelated,1.0,1000,8,কৃত্রিম বুদ্ধিমত্তা,post_filter,0.9,1.0,10,10,0.0,4.522376984823495,4.5268572168424726
uncorrelated,1.0,1000,8,কৃত্রিম বুদ্ধিমত্তা,over_fetch,0.9,1.0,10,100,0.0,4.7557890065945685,4.79194832732901
uncorrelated,1.0,1000,8,কৃত্রিম বুদ্ধিমত্তা,iterative,0.9,1.0,10,10,0.0,4.350100003648549,4.361605580197647
uncorrelated,1.0,1000,9,তথ্য প্রযুক্তি,pre_filter,0.9,1.0,10,10,0.0,3195.879596984014,3198.219259461621
uncorrelated,1.0,1000,9,তথ্য প্রযুক্তি,post_filter,0.9,1.0,10,10,0.0,4.41694597247988,4.670858493773267
uncorrelated,1.0,1000,9,তথ্য প্রযুক্তি,over_fetch,0.9,1.0,10,100,0.0,5.051508953329176,5.682301911292598
uncorrelated,1.0,1000,9,তথ্য প্রযুক্তি,iterative,0.9,1.0,10,10,0.0,4.6589060220867395,4.8750275280326605
uncorrelated,1.0,1000,10,মোবাইল ইন্টারনেট,pre_filter,1.0,1.0,10,10,0.0,3120.567199017387,3122.634254238801
uncorrelated,1.0,1000,10,মোবাইল ইন্টারনেট,post_filter,1.0,1.0,10,10,0.0,4.362492996733636,4.389779182383791
uncorrelated,1.0,1000,10,মোবাইল ইন্টারনেট,over_fetch,1.0,1.0,10,100,0.0,4.7354199923574924,4.808495519682765
uncorrelated,1.0,1000,10,মোবাইল ইন্টারনেট,iterative,1.0,1.0,10,10,0.0,4.4527650461532176,4.517651401693001
uncorrelated,1.0,1000,11,সাইবার নিরাপত্তা,pre_filter,0.9,1.0,10,10,0.0,3144.9776309891604,3162.999075319385
uncorrelated,1.0,1000,11,সাইবার নিরাপত্তা,post_filter,0.9,1.0,10,10,0.0,4.551221034489572,4.587389313383028
uncorrelated,1.0,1000,11,সাইবার নিরাপত্তা,over_fetch,0.9,1.0,10,100,0.0,4.797778965439647,4.8156332049984485
uncorrelated,1.0,1000,11,সাইবার নিরাপত্তা,iterative,0.9,1.0,10,10,0.0,4.562252026516944,4.74381169769913
uncorrelated,1.0,1000,12,বাংলাদেশ ক্রিকেট দল,pre_filter,1.0,1.0,10,10,0.0,3219.2643139860593,3224.678575422149
uncorrelated,1.0,1000,12,বাংলাদেশ ক্রিকেট দল,post_filter,1.0,1.0,10,10,0.0,4.512097977567464,4.648336383979768
uncorrelated,1.0,1000,12,বাংলাদেশ ক্রিকেট দল,over_fetch,1.0,1.0,10,100,0.0,4.923327011056244,4.957068886142224
uncorrelated,1.0,1000,12,বাংলাদেশ ক্রিকেট দল,iterative,1.0,1.0,10,10,0.0,4.434729984495789,4.490700090536848
uncorrelated,1.0,1000,13,ফুটবল ম্যাচ,pre_filter,1.0,1.0,10,10,0.0,3137.454463983886,3151.872413570527
uncorrelated,1.0,1000,13,ফুটবল ম্যাচ,post_filter,1.0,1.0,10,10,0.0,4.33215603698045,4.380162863526493
uncorrelated,1.0,1000,13,ফুটবল ম্যাচ,over_fetch,1.0,1.0,10,100,0.0,4.807877994608134,4.90799579420127
uncorrelated,1.0,1000,13,ফুটবল ম্যাচ,iterative,1.0,1.0,10,10,0.0,4.513940017204732,4.529928497504443
uncorrelated,1.0,1000,14,বিশ্বকাপ ক্রিকেট,pre_filter,1.0,1.0,10,10,0.0,3129.3400920112617,3148.5937857010867
uncorrelated,1.0,1000,14,বিশ্বকাপ ক্রিকেট,post_filter,1.0,1.0,10,10,0.0,4.420634009875357,4.444375121966004
